Year,Minister,Speech,,,,,
2006-07,P. Chidambaram,Skills Development,,,,,
2006-07,P. Chidambaram,"Honourable Members will recall that Government has taken up a programme to upgrade 500 ITls over five years. 100 ITls are now covered with the help of the private sector. Assistance has been sought from multilateral agencies to cover the remaining 400 ITls. I propose to allocate Rs. 97 crore for this purpose in 2006-07. The Skills Development Initiative (SDI) announced last year has been taken up through a PPP scheme, and I propose to make an initial provision of Rs. 10 crore.",,,,,
2006-07,P. Chidambaram,Backward Regions Grant Fund,,,,,
2006-07,P. Chidambaram,"Upon the establishment of a Backward Regions Grant Fund, a sum of Rs. 1,156 crore has been disbursed so far in the current year to the districts identified as backward as well as under Rashtriya Sam Vikas Yojana (RSVY). The Fund is being placed under the administrative control of the Ministry of Panchayati Raj, and I propose to allocate Rs. 5,000 crore in 2006-07.",,,,,
2006-07,P. Chidambaram,Jammu and Kashmir,,,,,
2006-07,P. Chidambaram,"Government will continue to provide special assistance to Jammu and Kashmir. The State Plan for 2006-07 has been fixed at Rs. 2,300 crore. In addition, I propose to provide a sum of Rs. 848 crore for the J&K Reconstruction Plan, including Rs. 230 crore for the Baglihar Project. I also propose to provide special central Plan assistance of Rs. 1,300 crore to enable the State to undertake reforms in the power sector.",,,,,
2006-07,P. Chidambaram,Defence Expenditure,,,,,
2006-07,P. Chidambaram,"Government has fulfilled the long-standing need of retired Armed Forces Personnel Below Officer Rank (PBOR) for better pensionary benefits. About 12 lakh PBOR have benefited to the tune of Rs. 460 crore with effect from 1 January 2006, and I am sure the House will welcome this decision.",,,,,
2006-07,P. Chidambaram,"In view of the enhanced expenditure on modernisation of defence forces, I propose to increase the allocation for defence from Rs. 83,000 crore to Rs. 89,000 crore in 2006-07, and this will include Rs. 37,458 crore for capital expenditure.",,,,,
2006-07,P. Chidambaram,e-Governance,,,,,
2006-07,P. Chidambaram,"The National e-Governance Plan will be approved shortly, and 25 projects, in mission mode, will be launched in 2006-07. Among them is Project MCA-21 to enable companies to file returns electronically and a project for setting up common service centres and assigning unique ID to BPL families. It is Government’s intention to bring a number of services online, in a web-based mode, including applications under the Right to Information Act, applications for house sites, ration cards, transfers of teachers, inclusion in the electoral roll, filing of police complaint, and issue of birth/death certificates and copies of land records.",,,,,
2006-07,P. Chidambaram,Celebrating History and Heritage,,,,,
2006-07,P. Chidambaram,"In 2007, we will celebrate the 150th anniversary of the First War of Indian Independence, an event that shaped the destiny of the nation. To ensure that the event is observed in a befitting manner, I propose to make a provision of Rs. 10 crore for preparatory activities.",,,,,
2006-07,P. Chidambaram,"Two Gandhian institutions, the National Gandhi Museum, Rajghat and the Kasturba Gandhi National Memorial Fund, Indore deserve support. I intend to provide Rs. 5 crore each to the corpus of these institutions in 2006-07.",,,,,
2006-07,P. Chidambaram,"I am happy to inform the House that Kuttiyattam, Vedic Chanting and Ramlila have been declared ‘Oral and Intangible Heritage of Humanity’ by the UNESCO. These old art forms and oral traditions need to be safeguarded. Pending drawing up a detailed scheme, I propose to make an initial provision of Rs. 5 crore in 2006-07.",,,,,
2006-07,P. Chidambaram,FISCAL CONSOLIDATION,,,,,
2006-07,P. Chidambaram,Twelfth Finance Commission,,,,,
2006-07,P. Chidambaram," The recommendations of the Twelfth Finance Commission (TFC) are being implemented. Cumulatively, State loans amounting to Rs. 1,03,710 crore have been consolidated so far. Under the new scheme of tax devolution, Rs. 94,402 crore will be released as the States’ share in the current year compared to Rs. 78,595 crore in 2004-05. As regards grants-in-aid, the amounts granted in 2004-05 and 2005-06 (RE) are Rs. 12,081 crore and Rs. 25,134 crore respectively. In 2006-07, both the tax devolution and the grants will be substantially higher. The States have never been so well provided, as you will find from the Budget papers.",,,,,
2006-07,P. Chidambaram,"I may add that I have made appropriate provision in the Budget for debt consolidation and relief. I have also provided Rs. 3,000 crore towards compensation for VAT losses, if any, in 2006-07.",,,,,
2006-07,P. Chidambaram,Subsidies,,,,,
2006-07,P. Chidambaram,"The issue of subsidies is proving to be a divisive one, but I would urge Honourable Members that it is imperative that we make progress on this front if we are serious about targeting subsidies at the poor and the truly needy. My Ministry has held extensive discussions with stakeholders on three major subsidies, namely, food, fertilizer and petroleum. We have also sought the views of the general public. Working groups/committees have gone into the question of fertilizer and petroleum subsidies, the latest being the Dr. C. Rangarajan Committee. I would urge Members to help the Government evolve a consensus on the issue of subsidies.",,,,,
2006-07,P. Chidambaram,Gross Budgetary Support and Gross Fiscal Deficit,,,,,
2006-07,P. Chidambaram,"Mr. Speaker, Sir, please allow me to draw your attention to two path breaking developments on the fiscal front. Firstly, the strategy of enhanced revenue mobilization through reasonable rates, better compliance and widening of the tax base is yielding tangible results. For the Centre, the gross tax-GDP ratio, after rising from 9.2 per cent in 2003-04 to 9.8 per cent in 2004-05, has increased further to 10.5 per cent in 2005-06 (RE). Government estimates that through better tax administration, it will increase to 11.2 per cent in 2006-07(BE).",,,,,
2006-07,P. Chidambaram,"Secondly, the year 2004-05, for which the actuals are available, has proved to be a turning point. After 20 years, the Gross Fiscal Deficit is less than the Gross Budgetary Support for Plan in that year. What does this mean? This means that Government is not financing the Plan entirely through borrowing. Whether this trend continued in 2005-06 will be known only after the actuals are available. However, in the BE for 2006-07, I have been able to confine the gross fiscal deficit to a number much smaller than the gross budgetary support for the Plan.",,,,,
2006-07,P. Chidambaram,"Last year, reluctantly, I pressed the ‘pause’ button on fiscal correction. I had estimated the revenue deficit for 2005-06 at 2.7 per cent and the fiscal deficit at 4.3 per cent. I am happy to report that I have been proved wrong. We have improved upon both measures. According to revised estimates, the revenue deficit for the current year will be only 2.6 per cent and the fiscal deficit will be only 4.1 per cent.",,,,,
2006-07,P. Chidambaram,BUDGET ESTIMATES FOR 2006-07,,,,,
2006-07,P. Chidambaram,I turn to the Budget Estimates for the next fiscal.,,,,,
2006-07,P. Chidambaram,Plan Expenditure,,,,,
2006-07,P. Chidambaram,"Plan expenditure for 2006-07 is estimated at Rs. 1,72,728 crore, up by 20.4 per cent. As a proportion of total expenditure, Plan expenditure has increased from 26.6 per cent in 2004-05 to 28.3 per cent in 2005-06 (RE) and further to 30.6 per cent in 2006-07 (BE). This points to the improvement in the quality of Government expenditure.",,,,,
2006-07,P. Chidambaram,Non-Plan Expenditure,,,,,
2006-07,P. Chidambaram,"Non-Plan expenditure in 2006-07 is estimated to be Rs. 3,91,263 crore. The increase of 5.5 per cent over non-plan expenditure in 2005-06 (BE) is due to normal growth and is one of the smallest in recent years.",,,,,
2006-07,P. Chidambaram,Revenue Deficit and Fiscal Deficit,,,,,
2006-07,P. Chidambaram,"Mr. Speaker, Sir, in the Budget Estimates for 2006-07, the total expenditure is estimated at Rs. 5,63,991 crore. I estimate total revenue receipts of the Central Government at Rs. 4,03,465 crore and the revenue expenditure at Rs. 4,88,192 crore. Consequently, the revenue deficit is estimated at Rs. 84,727 crore which is 2.1 per cent of the GDP. The fiscal deficit is estimated at Rs. 148,686 crore, which is 3.8 per cent of the GDP. I believe that I have redeemed my promise that the process of fiscal correction will be resumed in 2006-07.",,,,,
2006-07,P. Chidambaram,TAX PROPOSALS,,,,,
2006-07,P. Chidambaram,"Mr. Speaker, I shall now present my tax proposals. In the UPA Government’s first Budget, and more so in the second, I had attempted significant tax reforms. The results are encouraging. In 2004-05, gross tax revenues (provisional actuals) increased by 19.9 per cent over the actuals of the previous year and, according to Revised Estimates, in 2005-06, they are expected to increase by 21.4 per cent over the provisional actuals of the previous year. These figures confirm our belief that we should keep our tax rates moderate and stable.",,,,,
2006-07,P. Chidambaram,Indirect Taxes,,,,,
2006-07,P. Chidambaram,"I shall begin with my proposals on indirect taxes. Firstly, customs duties.",,,,,
2006-07,P. Chidambaram,"In line with the Government’s policy of reducing customs duties, I propose to reduce the peak rate for non-agricultural products from 15 per cent to 12.5 per cent. I believe that we are now only a short distance away from East Asian rates.",,,,,
2006-07,P. Chidambaram,"As the peak rate comes down, there is a need to reduce the duty on raw materials and intermediates.",,,,,
2006-07,P. Chidambaram,The duty on primary steel is at 5 per cent. I propose to reduce the duty on alloy steel and primary and secondary non-ferrous metals from 10 per cent to 7.5 per cent. This will also be the rate of duty for ferro alloys.,,,,,
2006-07,P. Chidambaram,"In 2004-05, in view of the high international prices of steel, I had reduced the import duty on steel melting scrap to zero. With prices of steel coming down, I propose to restore the duty to 5 per cent and bring it on par with primary steel.",,,,,
2006-07,P. Chidambaram,"The duty on mineral products is now 15 per cent. I propose to reduce it to 5 per cent, with a few exceptions.",,,,,
2006-07,P. Chidambaram,I also propose to reduce the duty on ores and concentrates from 5 per cent to 2 per cent.,,,,,
2006-07,P. Chidambaram,Refractories attract a duty of 10 per cent. A number of materials required for manufacture of refractories are also at 10 per cent or higher rates. I propose to reduce these duties to 7.5 per cent.,,,,,
2006-07,P. Chidambaram,"Basic inorganic chemicals are crucial raw materials. I propose to reduce the duty from 15 per cent to 10 per cent. On basic cyclic and acyclic hydrocarbons and their derivatives, I propose to bring down the rate to 5 per cent. I also propose to reduce the duty on catalysts from 10 per cent to 7.5 per cent.",,,,,
2006-07,P. Chidambaram,"Plastics are important raw materials. Hence, I propose to reduce the duty on major bulk plastics like PVC, LDPE and PP from 10 per cent to 5 per cent. Simultaneously, the duty on naphtha for plastics will be reduced to nil.",,,,,
2006-07,P. Chidambaram,"I propose to reduce the duty on styrene, EDC and VCM which are raw materials for plastics to 2 per cent.",,,,,
2006-07,P. Chidambaram,"I propose to give some concessions to vital drugs. I propose to reduce the customs duty on 10 anti-AIDS and 14 anti-cancer drugs to 5 per cent. I also propose to reduce the duty on certain life saving drugs, kits and equipment from 15 per cent to 5 per cent. These drugs will also be exempt from excise duty and countervailing duty (CVD).",,,,,
2006-07,P. Chidambaram,"Packaging machines serve a wide variety of industries, including food processing. I propose to reduce the duty on packaging machines from 15 per cent to 5 per cent.",,,,,
2006-07,P. Chidambaram,"I propose to extend the concessional project rate of 10 per cent to pipeline projects for transportation of natural gas, crude petroleum and petroleum products.",,,,,
2006-07,P. Chidambaram,"Honourable Members would recall that last year I had taken the power to impose a CVD on all imports to compensate for State level taxes. This levy was applied only to imports of ITA bound items and their inputs, except IT software. After the introduction of VAT in most States, I have received representations from trade and industry that this levy should be extended to all imports. The argument is persuasive, and I propose to impose a CVD of 4 per cent on all imports with a few exceptions. Full credit of this duty will be allowed to manufacturers of excisable goods.",,,,,
2006-07,P. Chidambaram,"In order to protect the domestic vanaspati industry, I propose to increase the customs duty on vanaspati to 80 per cent, the rate applicable to crude palm oil.",,,,,
2006-07,P. Chidambaram,"Export Oriented Units (EOUs) are allowed to clear their goods to the Domestic Tariff Area (DTA) at a concessional rate. With declining import duties, DTA units and EOUs should have a level playing field as regards excise duty or CVD. Hence, I propose to adjust the duty rates on clearances by EOUs to the DTA at 25 per cent of basic customs duty plus excise duty on like goods. This will still give the EOU a tariff advantage or, at any rate, in most cases, it will be on par with a DTA unit.",,,,,
2006-07,P. Chidambaram,"Finally, I have an important proposal that involves both excise and customs duties. Cotton textile industry has greatly benefited from the relief granted two years ago. The man-made textile industry is a growthand employment-driver. It deserves encouragement. Hence, I propose to reduce the excise duty on all man-made fibre yarn and filament yarn from 16 per cent to 8 per cent. Simultaneously, I propose to reduce the import duty on all man-made fibres and yarns from 15 per cent to 10 per cent. Consequently, the import duty on raw materials such as DMT, PTA and MEG will also be reduced from 15 per cent to 10 per cent. The import duty on paraxylene is proposed to be reduced to 2 per cent.",,,,,
2006-07,P. Chidambaram,"I have a few proposals on the excise side. I reiterate that it is our intention to converge all rates at the CENVAT rate which is now at 16 per cent. There are only two items—aerated drinks and cars—that still attract the higher rate of 24 per cent. I propose to correct this substantially. I propose to reduce the excise duty on aerated drinks to 16 per cent. On cars, I propose to reduce the excise duty to 16 per cent, but only for small cars. A small car, for this purpose, will mean a car of length not exceeding 4,000 mm and with an engine capacity not exceeding 1,500 cc for diesel cars and not exceeding 1,200 cc for petrol cars. I am confident that industry will seize the opportunity to make India a hub for the manufacture of small and fuel-efficient cars.",,,,,
2006-07,P. Chidambaram,I propose to impose an 8 per cent excise duty on packaged software sold over the counter. Customized software and software packages downloaded from the internet will be exempt from this levy.,,,,,
2006-07,P. Chidambaram,"I propose to fully exempt from excise duty DVD Drives, Flash Drives and Combo Drives.",,,,,
2006-07,P. Chidambaram,"Many food items, including packaged items, attract nil excise duty. With a view to giving a fillip to the food processing industry, I propose to fully exempt from excise duty condensed milk, ice cream, preparations of meat, fish and poultry, pectins, pasta and yeast. Excise duty on readyto-eat packaged foods and instant food mixes, like dosa and idli mixes, will be reduced from 16 per cent to 8 per cent.",,,,,
2006-07,P. Chidambaram,"Since leather and footwear are thrust sectors, I propose to exempt from excise duty two vegetable tanning extracts, namely, quebracho and chestnut. Footwear carrying a retail sale price up to Rs. 250 is already exempt from excise duty. I propose to reduce excise duty on footwear with a retail sale price between Rs. 250 and Rs. 750 from 16 per cent to 8 per cent.",,,,,
2006-07,P. Chidambaram,"At present LPG stoves up to a value of Rs. 2,000 attract excise duty of 8 per cent. I propose to extend the concessional rate to all LPG stoves without any value limit.",,,,,
2006-07,P. Chidambaram,"To promote the use of energy efficient lamps, I propose to reduce the excise duty on compact fluorescent lamps from 16 per cent to 8 per cent.",,,,,
2006-07,P. Chidambaram,"I propose to remove rate differences between different kinds of tableware and kitchenware. Consequently, glassware will attract excise duty of 16 per cent on par with ceramicware and plasticware.",,,,,
2006-07,P. Chidambaram,"Paper finds widespread use in education as well as in packaging. In order to encourage capacity addition, I propose to reduce excise duty on specified printing, writing and packing paper from 16 per cent to 12 per cent.",,,,,
2006-07,P. Chidambaram,"Domestically produced petroleum crude is subject to a cess under the Oil Industries Development Act. The rate of Rs. 1,800 per metric ton was fixed in 2002. After consulting the Ministry of Petroleum and Natural Gas, I propose to increase the cess to Rs. 2,500 per MT. I have been assured that this increase will be absorbed by the oil producing companies and have no impact on retail prices of petroleum products.",,,,,
2006-07,P. Chidambaram,"There are two requests from trade and industry. I had exempted computers from excise duty in order to boost the use of computers. That purpose has been largely served. Domestic manufacturers have sought re-imposition of excise duty at 12 per cent in order to enable them to take CENVAT credit as well as to face competition from imports. I propose to accept the request. Since the 12 per cent excise duty will be eligible for full input tax credit, there should not be any impact on price.",,,,,
2006-07,P. Chidambaram,"The second request is to impose excise duty on set top boxes. I propose to accept the request and levy an excise duty of 16 per cent and, at the same time, reduce the customs duty from 15 per cent to nil. This change will equalize the duty rates on various types of set top boxes.",,,,,
2006-07,P. Chidambaram,"To round off, I would be failing in my duty if I did not raise the excise duty on cigarettes. Hence, I propose to increase the excise duty on cigarettes by about 5 per cent.",,,,,
2006-07,P. Chidambaram,"The bane of excise and customs tariffs is the plethora of exemptions. On the basis of a comprehensive review, I propose to remove many exemptions that were granted through notifications. Broadly, exemptions that are end-use based or have outlived their utility or need certification or give rise to disputes are being rescinded, with only a few exceptions. The exemption for the SSI sector will, however, remain unchanged.",,,,,
2006-07,P. Chidambaram,"We have also identified some more notifications which need to be removed. However, before taking a final view, I propose to put a list of such notifications on the Ministry’s website and invite comments.",,,,,
2006-07,P. Chidambaram,"This leaves service tax. In 2005-06, the services sector is estimated to contribute 54 per cent of GDP. Naturally, it should also contribute significantly to the exchequer. Continuing in the direction followed in the last few years, I propose to bring more services under the service tax net. The new services to be covered include ATM operations, maintenance and management; registrars, share transfer agents and bankers to an issue; sale of space or time, other than in the print media, for advertisements; sponsorship of events, other than sports events, by companies; international air travel excluding economy class passengers; container services on rail, excluding the railway freight charges; business support services; auctioneering; recovery agents; ship management services; travel on cruise ships; and public relations management services.",,,,,
2006-07,P. Chidambaram,I also propose to expand the coverage of certain services now subject to service tax. I do not wish to burden the House with the details which are available in the Budget papers.,,,,,
2006-07,P. Chidambaram,"The leasing and hire purchase industry has faced some difficulty owing to the levy of service tax on all components of payments, including interest. I propose to rectify the anomaly. Accordingly, interest and instalments of the principal amount will be abated in calculating the value of the service.",,,,,
2006-07,P. Chidambaram,"It is my sense that there is a large consensus that the country should move towards a national level Goods and Services Tax (GST) that should be shared between the Centre and the States. I propose that we set 1 April 2010 as the date for introducing GST. World over, goods and services attract the same rate of tax. That is the foundation of a GST. People must get used to the idea of a GST. Hence, we must progressively converge the service tax rate and the CENVAT rate. I propose to take one step this year and increase the service tax rate from 10 per cent to 12 per cent. Let me hasten to add that since service tax paid can be credited against service tax payable or excise duty payable, the net impact will be very small.",,,,,
2006-07,P. Chidambaram,Direct Taxes,,,,,
2006-07,P. Chidambaram,I shall now turn to my proposals on direct taxes.,,,,,
2006-07,P. Chidambaram,The good news is that there will be no change in the rates of personal income tax or corporate income tax.,,,,,
2006-07,P. Chidambaram,The other piece of good news is that no new taxes are being imposed.,,,,,
2006-07,P. Chidambaram,The one-by-six scheme under the Income Tax Act obliging certain categories of persons to file returns will stand abolished.,,,,,
2006-07,P. Chidambaram,"I propose to marginally revise certain tax rates in the quest for equity. While the corporate tax rate is 30 per cent, the rate under Minimum Alternate Tax (MAT) is only 7.5 per cent of book profits. I propose to increase the rate of 10 per cent, which is still only one-third of the normal rate. I also propose to include long-term capital gains arising out of securities in calculating book profits. I have already allowed MATpaying companies to take credit for MAT over five years. I propose to extend the period to seven years as well as adjust MAT credit while calculating interest liability.",,,,,
2006-07,P. Chidambaram,"The rates for the Securities Transaction Tax (STT) were fixed when prices of securities were much lower. Reflecting the increase in implicit capital gains in securities transactions, I propose an increase of 25 per cent, across the board, on all rates of STT.",,,,,
2006-07,P. Chidambaram,"Section 80IA of the Income Tax Act applies to infrastructure facilities. For developing an industrial park the terminal date is 31 March 2006. I propose to extend the period to 31 March 2009. For the power sector, in view of the ultra mega projects, I propose to extend the date to 31 March 2010.",,,,,
2006-07,P. Chidambaram,"Last year, I recast the provisions relating to savings. Fixed deposits were not included. There is a demand that fixed deposits of certain tenure should qualify for tax exemption. I propose to include investments in fixed deposits in scheduled banks for a term of not less than five years in section 80C of the Income Tax Act. I also propose to remove the limit of Rs. 10,000 in respect of contribution to certain pension funds in section 80CCC, subject to the overall ceiling of Rs. 1,00,000.",,,,,
2006-07,P. Chidambaram,I propose to align the definition of open-ended equity-oriented schemes of mutual funds in the Income Tax Act with the definition adopted by SEBI. I also propose to treat open-ended equity-oriented schemes and close-ended equity-oriented schemes on par for the purpose of exemption from dividend distribution tax.,,,,,
2006-07,P. Chidambaram,"I have revisited the exemptions in the Income Tax Act. As a result, I propose to remove the exemption under section 10(23G) which is not relevant when interest rates are moderate.",,,,,
2006-07,P. Chidambaram,"Cooperative banks, like any other bank, are lending institutions and should pay tax on their profits. Primary Agricultural Credit Societies (PACS) and Primary Cooperative Agricultural and Rural Development Banks (PCARDB) stand on a special footing and will continue to be exempt from tax under section 80P of the Income Tax Act. However, I propose to exclude all other cooperative banks from the scope of that section.",,,,,
2006-07,P. Chidambaram,"Section 54EC and section 54ED are tax shelters. I propose to restrict the scope of section 54EC to two institutions, viz., NHAI and REC. For NABARD, SIDBI and NHB, which are banks, we have already opened the route of zero coupon bonds to raise low cost funds. Government will, if needed, provide appropriate support to these institutions to enable them to access resources to fulfil their mandate effectively. I also propose to withdraw the benefit of section 54ED, which has become virtually redundant, with effect from 1 April 2006.",,,,,
2006-07,P. Chidambaram,"The Standing Committee on Finance has expressed concern that many charitable institutions misuse the provisions of the Income Tax Act. I propose to focus on one misuse, namely, receiving anonymous or pseudonymous donations. Accordingly, I propose that anonymous or pseudonymous donations to wholly charitable institutions will be taxed at the highest marginal rate. Such donations to partly religious and partly charitable institutions/trusts will be taxed only if the donation is specifically for an educational or medical purpose. However, I make it clear that such donations to wholly religious institutions and religious trusts will not be covered by the new provision.",,,,,
2006-07,P. Chidambaram,Members of State Legislatures have complained that their constituency allowances are taxed differently from the constituency allowance received by Members of Parliament. I propose to remove the discrimination and treat them equally.,,,,,
2006-07,P. Chidambaram,"The Permanent Account Number (PAN) of the Department of Income Tax is the critical element in capturing incomes and expenditures. Scrutiny of Annual Information Returns (AIR) on high-value transactions reveals that 60 per cent of the transactions are without quoting PAN. Hence, I propose to take the power to issue PAN suo motu in certain cases. I also propose to take the power to direct persons to apply for PAN in certain cases. I propose to notify, in due course, more transactions for which quoting of PAN will be mandatory. I also propose to prescribe a few more transactions to be reported in AIRs.",,,,,
2006-07,P. Chidambaram,"Last year, I introduced two new taxes. The Banking Cash Transaction Tax (BCTT) has turned out to be a boon, not for the modest revenues it brought which was never its purpose, but for the remarkable trails that it has helped establish. To cite just one example, huge cash withdrawals in a bank branch in Chandni Chowk, noticed through the BCTT, led the Department of Income Tax to three entities which were carrying on the business of purchasing demand drafts from traders at a discount and helping the traders to avoid both sales tax and income tax. These entities would deposit the demand drafts in their own accounts and withdraw the cash. In a period of 18 months, they had laundered Rs. 1,500 crore. BCTT has also helped the Department to detect bogus bills, accommodation entries, artificial loss claims and dummy firms. I propose to continue the BCTT for some more time until the AIR system is able to capture all significant financial transactions.",,,,,
2006-07,P. Chidambaram,"Fringe Benefit Tax (FBT) was introduced as a revenue raising measure. FBT can be justified on the principles of horizontal equity and vertical equity. Nevertheless, I have reviewed it with an open mind. I have also taken on board the views expressed by the apex chambers of commerce. I propose to make the following changes in chapter XII-H of the Income Tax Act:",,,,,
2006-07,P. Chidambaram,•    Value the benefit in the form of ‘tour and travel’ at 5 per cent instead of 20 per cent;,,,,,
2006-07,P. Chidambaram,"•    Value the benefit in the form of ‘hospitality’ and ‘use of hotel boarding and lodging facilities’, in the case of airline companies and shipping industry, at 5 per cent instead of 20 per cent;",,,,,
2006-07,P. Chidambaram,•    Exclude the expenses on free samples of medicines and of medical equipment distributed to doctors;,,,,,
2006-07,P. Chidambaram,•    Exclude the expenses incurred on brand ambassador and celebrity endorsement; and,,,,,
2006-07,P. Chidambaram,"•    Prescribe a threshold of Rs. 1,00,000 under section 115WB(1)(c) so that only a contribution by an employer to an approved superannuation fund in excess of Rs. 1,00,000 per year per employee will attract FBT. Under section 80C there is already an exemption up to Rs. 1,00,000 for contribution by an employee to an approved superannuation fund. Honourable Members will note that, under these two provisions, there can now be a taxexempt contribution up to Rs. 2,00,000 per year for the benefit of an employee. This allowance, I believe, is generous enough in the case of an overwhelming majority of employees.",,,,,
2006-07,P. Chidambaram,"With these changes, I am confident that the debate on FBT will draw to a close. Let me remind everyone concerned once again that FBT is justified on the principle of equity.",,,,,
2006-07,P. Chidambaram,Modernizing Tax Administration,,,,,
2006-07,P. Chidambaram,"I am glad to inform the House that technology is being increasingly employed to modernize tax administration. The Departments of Income Tax and Customs and Central Excise will undergo Business Process Reengineering (BPR). Nationwide networks will connect 745 income tax offices in 510 cities and 550 customs and central excise offices in 245 cities, creating national databases. National data centres, data warehousing facilities and disaster recovery sites are being set up. Jurisdiction-free filing of returns, online tracking of status of accounts and refunds of income tax will be possible. Introduction of a risk management system and Electronic Data Interchange (EDI) in the Customs Department will reduce dwell time for cargo. E-payments of customs and excise duties will be possible. Both Departments will have fully computerised networks by end 2006.",,,,,
2006-07,P. Chidambaram,"Our Government’s two Budgets have seen many innovations—the Gender Budget, the Outcome Budget, etc. Today, I place before the House another innovation—a statement on revenue foregone, known worldwide as tax expenditure statement. This statement captures the departures from the normal tax regime. This exercise is a first attempt that will be fine tuned in the years to come.",,,,,
2006-07,P. Chidambaram,VAT and CST,,,,,
2006-07,P. Chidambaram,"The House is aware that most States have implemented VAT with effect from 1 April 2005, and the unanimous opinion is that VAT has been a resounding success. I hope that the non-VAT States will soon join the mainstream, because the next stage of reform depends on all States implementing VAT. The Empowered Committee of State Finance Ministers has recommended that Central Sales Tax (CST) be phased out, and have requested the Centre to compensate them for the expected loss of revenue. Government has proposed that the loss of revenue may be compensated through monetary and non-monetary measures which, taken together, will ensure that the States’ revenues remain buoyant. Once the Empowered Committee and the Government reach an agreement, I shall return to the House with firm proposals, including legislative changes and a supplementary demand.",,,,,
2006-07,P. Chidambaram,"In the meanwhile, there is an urgent matter connected with CST and VAT which has to be attended to. It has become imperative to moderate the price of Liquefied Petroleum Gas (LPG) for domestic use. States are taxing LPG (domestic) at high rates. They should also bear a portion of the burden of high prices of petroleum products. Hence, in order to moderate the price of LPG (domestic), I propose to include LPG (domestic) in the list of ‘declared goods’ under the CST Act.",,,,,
2006-07,P. Chidambaram,"My tax proposals on direct taxes are estimated to yield a gain of about Rs. 4,000 crore. On the indirect taxes side, the gain is estimated at Rs. 2,000 crore.",,,,,
2006-07,P. Chidambaram,Conclusion,,,,,
2006-07,P. Chidambaram,"Mr. Speaker, Sir, I believe that the world has recognized the potential of India. It is now for us, the generation to which has been given the privilege of carrying the torch, to rediscover the greatness of this country and the potential of its people. The young people of India are building castles, it may appear that those castles are in the air, but as Henry David Thoreau said: “If you have built castles in the air, your work need not be lost; that is where they should be. Now put the foundations under them.” It is our duty to put the foundations on which the young can build their castles. The UPA Government has pledged itself to that task.",,,,,
2006-07,P. Chidambaram,"Over a hundred years ago, a restless young man in his quest for the core of all spirituality admonished his fellow men in the following words: “We reap what we sow. We are the makers of our own fate. The wind is blowing; those vessels whose sails are unfurled catch it, and go forward on their way, but those which have their sails furled do not catch the wind. Is that the fault of the wind? We make our own destiny.” Those are the immortal words of Swami Vivekananda. Let us believe in our destiny, let us make our future.",,,,,
2006-07,P. Chidambaram,"Sir, with these words, I commend the Budget to the House.",,,,,
2007-08,P. Chidambaram,"Mr. Speaker, Sir",,,,,
2007-08,P. Chidambaram,,,,,,
2007-08,P. Chidambaram,It is my privilege to present the Budget for 2007-08.,,,,,
2007-08,P. Chidambaram,,,,,,
2007-08,P. Chidambaram,I. A MID-TERM REPORT CARD ON THE ECONOMY,,,,,
2007-08,P. Chidambaram,,,,,,
2007-08,P. Chidambaram,"2. In November 2006, the UPA Government crossed the midpoint of its term of office. A midterm report card can now be presented. There are many pluses and a few minuses, and I shall deal with both candidly. The biggest plus is that the growth rate of GDP has improved from 7.5 per cent in 2004-05 to 9 per cent (Quick Estimate) in 2005-06 and, according to Advance Estimate, to 9.2 per cent in 2006-07. The average growth rate in the three years of the UPA Government is, therefore, 8.6 per cent. Thanks to this impressive performance, despite the poor start in 2002-03, the growth target set for the Tenth Plan of 8 per cent will be nearly achieved.",,,,,
2007-08,P. Chidambaram,,,,,,
2007-08,P. Chidambaram,"3. Manufacturing is the main driver of growth, and this augurs well for the future. In the three years of the UPA Government, the growth rate in manufacturing has accelerated from 8.7 per cent to 9.1 per cent and further to 11.3 per cent. The services sector continues to maintain impressive growth and has recorded, in the three years, a growth rate of 9.6 per cent, 9.8 per cent and 11.2 per cent respectively.",,,,,
2007-08,P. Chidambaram,,,,,,
2007-08,P. Chidambaram,"4. On the other hand, the agriculture sector has witnessed sharp ups and downs. Average growth during the Tenth Plan period is estimated at 2.3 per cent, which is below the desired level of 4 per cent a year. About 115 million families are classified as farming families. Furthermore, a country with a large population has to be nearly self-sufficient in essential food items; otherwise supply constraints could upset macro economic stability and growth prospects. Hence, agriculture must top the agenda of the policy makers and must hold the first charge on our resources. In a short while, I shall place before this House a number of proposals in this regard.",,,,,
2007-08,P. Chidambaram,,,,,,
2007-08,P. Chidambaram,Income and Savings,,,,,
2007-08,P. Chidambaram,,,,,,
2007-08,P. Chidambaram,"5. To continue with the report card, per capita income in 2005-06, in real terms, increased by 7.4 per cent, and the savings rate has been estimated at 32.4 per cent and the investment rate at 33.8 per cent. Intuitively, I believe that these high rates have continued in the current year too.",,,,,
2007-08,P. Chidambaram,,,,,,
2007-08,P. Chidambaram,"6. The UPA Government has remained committed to economic reforms, fiscal prudence and monetary stability.",,,,,
2007-08,P. Chidambaram,,,,,,
2007-08,P. Chidambaram,"7. Revenues are buoyant for the third year in succession. We have garnered additional revenues and, as Honourable Members will notice presently, I have put these revenues to good use to promote inclusive growth, equity and social justice - goals that are at the core of the National Common Minimum Programme (NCMP) and close to the hearts of the UPA, its Chairperson and the Prime Minister.",,,,,
